Timestamp,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Load","GPU Temp"
17/12/2020 20:46:06 PM,95.00°F,96.80°F,96.80°F,96.80°F,98.60°F,23%,104.00°F
17/12/2020 20:46:11 PM,96.80°F,95.00°F,100.40°F,96.80°F,100.40°F,30%,104.00°F
17/12/2020 20:46:16 PM,93.20°F,95.00°F,95.00°F,95.00°F,96.80°F,17%,104.00°F
17/12/2020 20:46:21 PM,98.60°F,100.40°F,100.40°F,100.40°F,100.40°F,27%,104.00°F
17/12/2020 20:46:26 PM,98.60°F,95.00°F,96.80°F,93.20°F,98.60°F,23%,104.00°F
17/12/2020 20:46:31 PM,107.60°F,105.80°F,104.00°F,104.00°F,107.60°F,61%,104.00°F
17/12/2020 20:46:36 PM,91.40°F,98.60°F,102.20°F,100.40°F,102.20°F,26%,104.00°F
17/12/2020 20:46:41 PM,95.00°F,98.60°F,102.20°F,98.60°F,102.20°F,25%,104.00°F
17/12/2020 20:46:46 PM,95.00°F,96.80°F,95.00°F,100.40°F,98.60°F,20%,104.00°F
17/12/2020 20:46:51 PM,95.00°F,93.20°F,102.20°F,93.20°F,104.00°F,22%,104.00°F
17/12/2020 20:46:56 PM,105.80°F,104.00°F,111.20°F,105.80°F,111.20°F,68%,104.00°F
17/12/2020 20:47:01 PM,95.00°F,93.20°F,91.40°F,93.20°F,96.80°F,19%,104.00°F
17/12/2020 20:47:06 PM,93.20°F,91.40°F,89.60°F,89.60°F,96.80°F,17%,104.00°F
17/12/2020 20:47:11 PM,96.80°F,93.20°F,96.80°F,91.40°F,96.80°F,23%,104.00°F
17/12/2020 20:47:16 PM,93.20°F,93.20°F,87.80°F,91.40°F,95.00°F,18%,104.00°F
17/12/2020 20:47:21 PM,100.40°F,100.40°F,105.80°F,100.40°F,105.80°F,25%,104.00°F
17/12/2020 20:47:26 PM,102.20°F,93.20°F,100.40°F,93.20°F,102.20°F,28%,104.00°F
17/12/2020 20:47:31 PM,107.60°F,104.00°F,109.40°F,104.00°F,109.40°F,53%,104.00°F
17/12/2020 20:47:36 PM,95.00°F,95.00°F,91.40°F,95.00°F,95.00°F,22%,104.00°F
17/12/2020 20:47:41 PM,102.20°F,104.00°F,104.00°F,104.00°F,104.00°F,50%,104.00°F
17/12/2020 20:47:46 PM,96.80°F,95.00°F,100.40°F,98.60°F,100.40°F,16%,104.00°F
17/12/2020 20:47:51 PM,98.60°F,100.40°F,105.80°F,100.40°F,107.60°F,54%,104.00°F
17/12/2020 20:47:56 PM,102.20°F,105.80°F,102.20°F,105.80°F,104.00°F,28%,104.00°F
17/12/2020 20:48:01 PM,95.00°F,98.60°F,102.20°F,96.80°F,104.00°F,18%,104.00°F
17/12/2020 20:48:06 PM,98.60°F,93.20°F,95.00°F,91.40°F,95.00°F,20%,104.00°F
17/12/2020 20:48:11 PM,98.60°F,105.80°F,105.80°F,105.80°F,105.80°F,61%,104.00°F
17/12/2020 20:48:16 PM,98.60°F,95.00°F,100.40°F,96.80°F,100.40°F,28%,104.00°F
17/12/2020 20:48:21 PM,93.20°F,96.80°F,96.80°F,95.00°F,96.80°F,15%,104.00°F
17/12/2020 20:48:26 PM,95.00°F,95.00°F,98.60°F,95.00°F,100.40°F,24%,104.00°F
17/12/2020 20:48:31 PM,91.40°F,93.20°F,89.60°F,89.60°F,95.00°F,18%,104.00°F
17/12/2020 20:48:36 PM,89.60°F,91.40°F,87.80°F,93.20°F,93.20°F,17%,104.00°F
17/12/2020 20:48:41 PM,93.20°F,93.20°F,91.40°F,95.00°F,95.00°F,14%,104.00°F
17/12/2020 20:48:46 PM,95.00°F,91.40°F,89.60°F,91.40°F,95.00°F,22%,104.00°F
17/12/2020 20:48:51 PM,96.80°F,104.00°F,104.00°F,107.60°F,107.60°F,38%,104.00°F
17/12/2020 20:48:56 PM,96.80°F,98.60°F,96.80°F,96.80°F,98.60°F,20%,104.00°F
17/12/2020 20:49:01 PM,105.80°F,98.60°F,95.00°F,95.00°F,96.80°F,45%,104.00°F
17/12/2020 20:49:06 PM,93.20°F,95.00°F,91.40°F,91.40°F,95.00°F,28%,104.00°F
17/12/2020 20:49:11 PM,91.40°F,91.40°F,91.40°F,91.40°F,95.00°F,18%,104.00°F
17/12/2020 20:49:16 PM,98.60°F,95.00°F,95.00°F,95.00°F,96.80°F,37%,104.00°F
17/12/2020 20:49:21 PM,93.20°F,95.00°F,91.40°F,93.20°F,93.20°F,25%,104.00°F
17/12/2020 20:49:26 PM,89.60°F,91.40°F,89.60°F,91.40°F,95.00°F,23%,104.00°F
17/12/2020 20:49:31 PM,89.60°F,91.40°F,89.60°F,89.60°F,95.00°F,28%,105.80°F
17/12/2020 20:49:36 PM,93.20°F,89.60°F,91.40°F,93.20°F,93.20°F,23%,104.00°F
17/12/2020 20:49:41 PM,91.40°F,91.40°F,87.80°F,87.80°F,93.20°F,22%,104.00°F
17/12/2020 20:49:46 PM,93.20°F,91.40°F,102.20°F,91.40°F,102.20°F,35%,105.80°F
17/12/2020 20:49:51 PM,91.40°F,91.40°F,89.60°F,91.40°F,95.00°F,27%,105.80°F
17/12/2020 20:49:56 PM,91.40°F,89.60°F,89.60°F,91.40°F,95.00°F,15%,105.80°F
17/12/2020 20:50:01 PM,93.20°F,89.60°F,93.20°F,91.40°F,95.00°F,23%,105.80°F
17/12/2020 20:50:06 PM,102.20°F,95.00°F,102.20°F,95.00°F,102.20°F,38%,105.80°F
17/12/2020 20:50:11 PM,100.40°F,98.60°F,102.20°F,95.00°F,102.20°F,41%,105.80°F
17/12/2020 20:50:16 PM,91.40°F,91.40°F,91.40°F,87.80°F,93.20°F,25%,105.80°F
17/12/2020 20:50:21 PM,93.20°F,91.40°F,96.80°F,93.20°F,96.80°F,20%,104.00°F
17/12/2020 20:50:26 PM,93.20°F,89.60°F,89.60°F,87.80°F,93.20°F,27%,104.00°F
17/12/2020 20:50:31 PM,91.40°F,89.60°F,89.60°F,91.40°F,93.20°F,20%,105.80°F
17/12/2020 20:50:36 PM,93.20°F,89.60°F,87.80°F,89.60°F,91.40°F,23%,105.80°F
17/12/2020 20:50:41 PM,95.00°F,91.40°F,93.20°F,91.40°F,95.00°F,26%,104.00°F
17/12/2020 20:50:46 PM,95.00°F,93.20°F,95.00°F,95.00°F,95.00°F,23%,105.80°F
17/12/2020 20:50:51 PM,96.80°F,93.20°F,93.20°F,93.20°F,96.80°F,26%,104.00°F
17/12/2020 20:50:56 PM,87.80°F,89.60°F,89.60°F,91.40°F,93.20°F,21%,105.80°F
17/12/2020 20:51:01 PM,89.60°F,89.60°F,87.80°F,86.00°F,93.20°F,21%,105.80°F
17/12/2020 20:51:06 PM,89.60°F,89.60°F,86.00°F,87.80°F,91.40°F,25%,104.00°F
17/12/2020 20:51:11 PM,87.80°F,89.60°F,87.80°F,87.80°F,93.20°F,22%,105.80°F
17/12/2020 20:51:16 PM,87.80°F,89.60°F,89.60°F,87.80°F,93.20°F,16%,105.80°F
17/12/2020 20:51:21 PM,93.20°F,95.00°F,96.80°F,93.20°F,96.80°F,36%,104.00°F
17/12/2020 20:51:26 PM,89.60°F,89.60°F,89.60°F,89.60°F,93.20°F,27%,105.80°F
17/12/2020 20:51:31 PM,93.20°F,91.40°F,89.60°F,89.60°F,93.20°F,26%,104.00°F
17/12/2020 20:51:36 PM,87.80°F,89.60°F,89.60°F,89.60°F,91.40°F,18%,104.00°F
17/12/2020 20:51:41 PM,89.60°F,89.60°F,86.00°F,87.80°F,91.40°F,19%,104.00°F
17/12/2020 20:51:46 PM,87.80°F,87.80°F,87.80°F,87.80°F,91.40°F,16%,104.00°F
17/12/2020 20:51:51 PM,87.80°F,89.60°F,87.80°F,89.60°F,91.40°F,15%,104.00°F
17/12/2020 20:51:56 PM,87.80°F,89.60°F,87.80°F,87.80°F,91.40°F,20%,104.00°F
17/12/2020 20:52:01 PM,87.80°F,87.80°F,86.00°F,86.00°F,91.40°F,14%,104.00°F
17/12/2020 20:52:06 PM,86.00°F,91.40°F,84.20°F,84.20°F,91.40°F,12%,104.00°F
17/12/2020 20:52:11 PM,86.00°F,87.80°F,89.60°F,86.00°F,91.40°F,17%,104.00°F
17/12/2020 20:52:16 PM,87.80°F,87.80°F,91.40°F,89.60°F,91.40°F,14%,104.00°F
17/12/2020 20:52:21 PM,87.80°F,87.80°F,87.80°F,87.80°F,91.40°F,15%,104.00°F
17/12/2020 20:52:26 PM,86.00°F,87.80°F,84.20°F,89.60°F,91.40°F,19%,104.00°F
17/12/2020 20:52:31 PM,86.00°F,87.80°F,86.00°F,86.00°F,91.40°F,9%,104.00°F
17/12/2020 20:52:36 PM,84.20°F,86.00°F,84.20°F,86.00°F,91.40°F,14%,104.00°F
17/12/2020 20:52:41 PM,84.20°F,86.00°F,82.40°F,84.20°F,91.40°F,17%,104.00°F
17/12/2020 20:52:46 PM,87.80°F,87.80°F,86.00°F,86.00°F,89.60°F,13%,104.00°F
17/12/2020 20:52:51 PM,84.20°F,86.00°F,84.20°F,84.20°F,87.80°F,12%,104.00°F
17/12/2020 20:52:56 PM,87.80°F,84.20°F,84.20°F,82.40°F,89.60°F,13%,104.00°F
17/12/2020 20:53:01 PM,84.20°F,84.20°F,86.00°F,86.00°F,89.60°F,18%,104.00°F
17/12/2020 20:53:06 PM,84.20°F,84.20°F,86.00°F,84.20°F,89.60°F,18%,104.00°F
17/12/2020 20:53:11 PM,84.20°F,86.00°F,84.20°F,82.40°F,87.80°F,16%,104.00°F
17/12/2020 20:53:16 PM,84.20°F,86.00°F,84.20°F,82.40°F,87.80°F,16%,104.00°F
17/12/2020 20:53:21 PM,86.00°F,86.00°F,82.40°F,82.40°F,87.80°F,18%,104.00°F
17/12/2020 20:53:26 PM,84.20°F,84.20°F,82.40°F,84.20°F,86.00°F,11%,104.00°F
17/12/2020 20:53:31 PM,84.20°F,87.80°F,82.40°F,82.40°F,86.00°F,18%,104.00°F
17/12/2020 20:53:36 PM,82.40°F,84.20°F,86.00°F,80.60°F,86.00°F,18%,104.00°F
17/12/2020 20:53:41 PM,84.20°F,84.20°F,86.00°F,80.60°F,87.80°F,17%,104.00°F
17/12/2020 20:53:46 PM,84.20°F,82.40°F,84.20°F,82.40°F,84.20°F,17%,104.00°F
17/12/2020 20:53:51 PM,84.20°F,86.00°F,82.40°F,86.00°F,86.00°F,16%,104.00°F
17/12/2020 20:53:56 PM,84.20°F,84.20°F,84.20°F,84.20°F,86.00°F,17%,104.00°F
17/12/2020 20:54:01 PM,84.20°F,82.40°F,82.40°F,82.40°F,86.00°F,12%,104.00°F
17/12/2020 20:54:06 PM,84.20°F,84.20°F,84.20°F,84.20°F,86.00°F,18%,104.00°F
17/12/2020 20:54:11 PM,82.40°F,91.40°F,82.40°F,95.00°F,84.20°F,15%,104.00°F
17/12/2020 20:54:16 PM,84.20°F,84.20°F,84.20°F,84.20°F,86.00°F,19%,104.00°F
17/12/2020 20:54:21 PM,86.00°F,91.40°F,87.80°F,91.40°F,89.60°F,50%,104.00°F
17/12/2020 20:54:26 PM,84.20°F,86.00°F,82.40°F,84.20°F,86.00°F,18%,104.00°F
17/12/2020 20:54:31 PM,84.20°F,82.40°F,82.40°F,82.40°F,84.20°F,9%,104.00°F
17/12/2020 20:54:36 PM,84.20°F,82.40°F,82.40°F,82.40°F,86.00°F,10%,104.00°F
17/12/2020 20:54:41 PM,82.40°F,82.40°F,82.40°F,80.60°F,84.20°F,17%,104.00°F
17/12/2020 20:54:46 PM,84.20°F,82.40°F,86.00°F,84.20°F,86.00°F,19%,104.00°F
17/12/2020 20:54:51 PM,80.60°F,84.20°F,82.40°F,84.20°F,86.00°F,17%,104.00°F
17/12/2020 20:54:56 PM,84.20°F,84.20°F,84.20°F,82.40°F,87.80°F,16%,104.00°F
17/12/2020 20:55:01 PM,84.20°F,84.20°F,82.40°F,80.60°F,84.20°F,14%,104.00°F
17/12/2020 20:55:06 PM,84.20°F,82.40°F,86.00°F,82.40°F,87.80°F,17%,104.00°F
17/12/2020 20:55:11 PM,82.40°F,84.20°F,84.20°F,80.60°F,84.20°F,13%,104.00°F
17/12/2020 20:55:16 PM,82.40°F,82.40°F,82.40°F,80.60°F,84.20°F,15%,104.00°F
17/12/2020 20:55:21 PM,84.20°F,84.20°F,82.40°F,84.20°F,82.40°F,15%,104.00°F
17/12/2020 20:55:26 PM,82.40°F,82.40°F,84.20°F,84.20°F,84.20°F,15%,104.00°F
17/12/2020 20:55:31 PM,82.40°F,84.20°F,82.40°F,82.40°F,82.40°F,18%,104.00°F
17/12/2020 20:55:36 PM,84.20°F,82.40°F,84.20°F,82.40°F,84.20°F,11%,104.00°F
17/12/2020 20:55:41 PM,80.60°F,84.20°F,80.60°F,80.60°F,84.20°F,17%,102.20°F
17/12/2020 20:55:46 PM,80.60°F,82.40°F,80.60°F,80.60°F,84.20°F,9%,104.00°F
17/12/2020 20:55:51 PM,84.20°F,82.40°F,78.80°F,78.80°F,84.20°F,12%,104.00°F
17/12/2020 20:55:56 PM,82.40°F,84.20°F,80.60°F,82.40°F,84.20°F,16%,104.00°F
17/12/2020 20:56:01 PM,82.40°F,86.00°F,84.20°F,82.40°F,84.20°F,15%,104.00°F
17/12/2020 20:56:06 PM,84.20°F,82.40°F,78.80°F,80.60°F,86.00°F,16%,104.00°F
